window,alpha,family,ood_f1_mean,seen_f1_mean,test_fpr_mean,violation_ratio_mean,violation_ratio_p95,strict_ok,b3_ok,b5_ok,b10_ok
1m,0.001,tabular,0.2043580737944004,0.7606622751061561,0.0010086962971203,1.0086962971203943,1.0865735847657192,0.4666666666666667,1.0,1.0,1.0
1m,0.001,gnn_base,0.0693336548219046,0.4571376761867947,0.0011607424301421,1.160742430142219,1.306298789193599,0.3,1.0,1.0,1.0
1m,0.001,gnn_ours,0.0008679207931454,0.5629529566121059,0.0009493612208191,0.9493612208191948,1.105115796109844,0.55,1.0,1.0,1.0
1m,0.01,tabular,0.4226849454073112,0.3836207116767136,0.0093020093576359,0.9302009357635992,0.9462708522618408,0.6,1.0,1.0,1.0
1m,0.01,gnn_base,0.1601393089648227,0.313237029721384,0.0104253583282341,1.0425358328234224,1.0866662958224398,0.5,1.0,1.0,1.0
1m,0.01,gnn_ours,0.1705493338419314,0.3361656214029624,0.009961803044631,0.99618030446311,1.0330793050379186,0.4,1.0,1.0,1.0
1m,0.05,tabular,0.4494277691566018,0.1152844140497433,0.045744871533379,0.9148974306675812,0.9280005933507628,1.0,1.0,1.0,1.0
1m,0.05,gnn_base,0.3863120731052702,0.0986278601035817,0.051857002466114,1.037140049322282,1.0561829003726984,0.3,1.0,1.0,1.0
1m,0.05,gnn_ours,0.3722824569954414,0.1036796466051955,0.049119244961154,0.9823848992230813,0.9981828632882758,0.8,1.0,1.0,1.0
5m,0.001,tabular,0.0486033916502644,0.7075321835104249,0.0008840295299504,0.8840295299504718,0.9270161667133912,0.6666666666666666,1.0,1.0,1.0
5m,0.001,gnn_base,0.1047643020314727,0.3809083314387225,0.0015391084945331,1.5391084945332212,1.9484160358844969,0.5,0.9,1.0,1.0
5m,0.001,gnn_ours,0.0157076726368882,0.4836518219644389,0.0009223437061956,0.9223437061956824,1.1031679282310063,0.7,1.0,1.0,1.0
5m,0.01,tabular,0.3585559941639845,0.2272168638227401,0.0095075226614334,0.9507522661433512,0.9806560134566862,0.6666666666666666,1.0,1.0,1.0
5m,0.01,gnn_base,0.2863837220253997,0.1827669192950249,0.011457807681525,1.1457807681525092,1.2342304457527336,0.6,1.0,1.0,1.0
5m,0.01,gnn_ours,0.279450740040425,0.2004480743433557,0.0100925147182505,1.0092514718250634,1.0599943930473787,0.55,1.0,1.0,1.0
5m,0.05,tabular,0.325633257304691,0.0716805903222429,0.0421362489486963,0.8427249789739276,0.8505373329595364,0.4,1.0,1.0,1.0
5m,0.05,gnn_base,0.29860658697104,0.0503614003545529,0.0528777684328567,1.0575553686571346,1.1214185590131762,0.55,1.0,1.0,1.0
5m,0.05,gnn_ours,0.3227415183399166,0.0540372802043545,0.0488786094757498,0.9775721895149984,0.9961312026913371,0.9,1.0,1.0,1.0
