window,method,backbone,alpha,num_seeds,num_runs,threshold_mean,threshold_std,validation_fpr_mean,validation_fpr_std,test_fpr_mean,test_fpr_std,violation_ratio_mean,violation_ratio_std,seen_precision_mean,seen_precision_std,seen_recall_mean,seen_recall_std,seen_f1_mean,seen_f1_std,ood_precision_mean,ood_precision_std,ood_recall_mean,ood_recall_std,ood_f1_mean,ood_f1_std,violation_ratio_p90,violation_ratio_p95,strict_ok,b3_ok,b5_ok,b10_ok
1m,base,gat,0.001,5,5,0.9970377087593081,0.0019134472047161477,0.0009827372012386,0.0,0.0011978268528304,0.0001752214445113507,1.1978268528304685,0.17522144451135632,0.4528475278363741,0.03288344240141075,0.32484848484848483,0.0583834888668717,0.37669067294710706,0.046816429128465155,0.04836222600928478,0.02647574201137204,0.0019058295964124998,0.0011623565781013216,0.00366559102764024,0.002227272242129814,1.3684151971964176,1.3795405240028926,0.2,1.0,1.0,1.0
1m,base,gat,0.01,5,5,0.9405031323432922,0.024024767125399093,0.0099942519144833,0.0,0.00931931542155712,0.00025645963029825484,0.9319315421557176,0.025645963029827103,0.20245935216983196,0.005259192943065012,0.7733333333333333,0.03166630418815304,0.3208725395620061,0.008794031264502096,0.04436030644093657,0.03642825518213439,0.01356502242152462,0.012212786523900112,0.02076352989821708,0.018310824808026763,0.952327974634255,0.9526988188611375,1.0,1.0,1.0,1.0
1m,base,gat,0.05,5,5,0.4035952687263489,0.05457453826468868,0.0499898017837607,0.0,0.049759878363093535,0.0010716531963239713,0.9951975672618716,0.021433063926478767,0.053279976981466096,0.0010615491490398067,0.9151515151515153,0.01766955119650088,0.10069555154013914,0.0019464977911681494,0.318715617216589,0.019787675724223585,0.7044843049327355,0.05612299542196612,0.43884111654561747,0.029475230269691538,1.017077376647939,1.0178932339470805,0.6,1.0,1.0,1.0
1m,base,gcn,0.001,5,5,0.9993839979171755,0.00034876961884679127,0.0009827372012386,0.0,0.0008714839331737999,4.348534015523567e-05,0.8714839331738704,0.0434853401552301,0.5787830215214304,0.017265077199423915,0.3915151515151515,0.019450674588946934,0.46695955733681627,0.01817122710597936,0.0,0.0,0.0,0.0,0.0,0.0,0.9011514713244702,0.9048599135932951,1.0,1.0,1.0,1.0
1m,base,gcn,0.01,5,5,0.9489663004875183,0.0069668566259694946,0.0099942519144833,0.0,0.009067141347277041,0.00029405632247042325,0.9067141347277076,0.029405632247044695,0.20596888851115777,0.003750261808569562,0.7684848484848484,0.016817499303650445,0.32483015999211384,0.004878269302016777,0.1382152270817248,0.08606485015410568,0.04674887892376678,0.03312775526769655,0.06976973883181388,0.0479299684109047,0.9326732306094824,0.9382358940127198,1.0,1.0,1.0,1.0
1m,base,gcn,0.05,5,5,0.49783179759979257,0.0361674210035174,0.0499898017837607,0.0,0.05154734753666719,0.0008607661188136868,1.0309469507333444,0.017215322376273625,0.05210409174257526,0.0004378976253048576,0.9260606060606061,0.011657808522225033,0.0986562587315116,0.000778105848372053,0.28742194566105955,0.008942869428482663,0.6290358744394619,0.035185545077440386,0.3945123367988618,0.015147776854543028,1.0480799540153158,1.0537909551093063,0.0,1.0,1.0,1.0
1m,base,gin,0.001,5,5,0.9706248283386232,0.009648246269596242,0.0009827372012386,0.0,0.0014462924848416799,0.00022897941879859165,1.4462924848417422,0.22897941879862183,0.4681105036179626,0.025471476539974103,0.41454545454545455,0.0546463712913932,0.43803299262003675,0.033048923513253406,0.7779909790007606,0.056936249673738365,0.16804932735426006,0.07970824424592582,0.27171991020266323,0.10518900407763739,1.676215905508891,1.691049674584191,0.0,1.0,1.0,1.0
1m,base,gin,0.01,5,5,0.6842913985252381,0.05310436409527086,0.009990543472214461,8.292329003760096e-06,0.01258274461812312,0.0009748866286445349,1.2582744618123158,0.09748866286445378,0.1666313572425838,0.011288432409611578,0.8193939393939393,0.030424000964875488,0.2767971684364156,0.015954506195461515,0.5184505977651052,0.07077529693584428,0.42073991031390134,0.11242430048928717,0.4627025458099096,0.09557072940698919,1.3402310359533476,1.356177337709295,0.0,1.0,1.0,1.0
1m,base,gin,0.05,5,5,0.2432643085718155,0.05513038429970823,0.0499898017837607,0.0,0.056127273738666036,0.0008184868982345407,1.1225454747733212,0.016369737964690614,0.04805698263471358,0.0004930134327332271,0.926060606060606,0.009958591954639398,0.09137161393310274,0.0008975922572150338,0.26377806494697104,0.026504737810821577,0.6109865470852018,0.09002266584356106,0.3683350780218019,0.042143013389006466,1.1384176076838923,1.1449444660770243,0.0,1.0,1.0,1.0
1m,base,sage,0.001,5,5,0.9925520777702331,0.0013623087721195586,0.0009827372012386,0.0,0.00112736644972276,8.931111664010292e-05,1.127366449722794,0.08931111664009421,0.583410507524331,0.011367197030697461,0.5151515151515151,0.01868004243323932,0.5468674818432188,0.007539604821159436,0.028706173007915625,0.013657723016609391,0.0010089686098654202,0.0004689798355011398,0.0019491180573152204,0.0009063374217265959,1.2200775064434184,1.2497450445940181,0.0,1.0,1.0,1.0
