window,method,alpha,num_backbones,num_runs,threshold_mean,threshold_std,validation_fpr_mean,validation_fpr_std,test_fpr_mean,test_fpr_std,violation_ratio_mean,violation_ratio_std,seen_precision_mean,seen_precision_std,seen_recall_mean,seen_recall_std,seen_f1_mean,seen_f1_std,ood_precision_mean,ood_precision_std,ood_recall_mean,ood_recall_std,ood_f1_mean,ood_f1_std,strict_ok,b3_ok,b5_ok,b10_ok,violation_ratio_p90,violation_ratio_p95
1m,base,0.001,4,20,0.989899653196335,0.012549280025446002,0.0009827372012386,0.0,0.0011607424301421602,0.000252409330074809,1.160742430142219,0.2524093300748136,0.5207878901250245,0.0656981889540861,0.41151515151515144,0.0800632875181636,0.45713767618679474,0.06867439469699424,0.21376484450449024,0.33598036658167246,0.04274103139013449,0.0827520452024105,0.06933365482190469,0.1292455124639687,0.3,1.0,1.0,1.0,1.2914650201182993,1.306298789193599
1m,base,0.01,4,20,0.8369935244321823,0.11859795950877292,0.009993324803916091,4.146164501880048e-06,0.010425358328234182,0.0015158947905604694,1.0425358328234224,0.1515894790560468,0.19446166491500977,0.017632974436115324,0.8133333333333332,0.05535811418525382,0.31323702972138406,0.02357265268479162,0.2117259873832153,0.20188266475165068,0.13590246636771303,0.18016850280688124,0.16013930896482276,0.19126516551321635,0.5,1.0,1.0,1.0,1.0802692329087167,1.0866662958224398
1m,base,0.05,4,20,0.3288970775902271,0.13868163728259775,0.049989801783760696,7.119154932824459e-18,0.05185700246611406,0.0027326046863113003,1.037140049322282,0.0546520937262258,0.05208418849619574,0.0026676625917496665,0.9290909090909091,0.0169263515682048,0.09862786010358175,0.00482662299153469,0.2815322951551747,0.030509658253068506,0.6164798206278027,0.0867497086970813,0.38631207310527027,0.04522343904510674,0.3,1.0,1.0,1.0,1.0527711334853793,1.0561829003726984
1m,ours,0.001,4,20,0.9948441505432131,0.0025372828158604943,0.00098181009067139,4.146164501879902e-06,0.0009493612208191402,0.00024786625637261174,0.9493612208191949,0.2478662563726141,0.6255405136091235,0.07228908555142384,0.5212121212121212,0.12369076577756316,0.5629529566121059,0.09487184306234303,0.014230380054951974,0.025153805910884338,0.0004484304932735251,0.0008645648343436295,0.00086792079314547,0.0016703881093501217,0.55,1.0,1.0,1.0,1.0884278059001316,1.105115796109844
1m,ours,0.01,4,20,0.7308183521032334,0.13116197280384553,0.0099942519144833,0.0,0.009961803044631044,0.0005283674105954378,0.99618030446311,0.05283674105954487,0.2090676504277169,0.011890087350680768,0.8584848484848486,0.01878582074440807,0.3361656214029624,0.016503143236630297,0.2751140148790405,0.12335578584273098,0.12401905829596412,0.06409949728514854,0.17054933384193147,0.08461191909414516,0.4,1.0,1.0,1.0,1.028258330088446,1.0330793050379186
1m,ours,0.05,4,20,0.21017127335071564,0.1150685584979963,0.049989801783760696,7.119154932824459e-18,0.04911924496115402,0.0011050004334310507,0.9823848992230813,0.022100008668620767,0.05489399733925421,0.0012457902942095613,0.932121212121212,0.01173219444299379,0.10367964660519553,0.0022509625338892605,0.27665467147279,0.024117819344988377,0.5691704035874439,0.06027953103725489,0.3722824569954414,0.03468805990498975,0.8,1.0,1.0,1.0,0.9959207135042926,0.9981828632882758
5m,base,0.001,4,20,0.9879152268171312,0.024286690912013204,0.0009812442176680002,2.2247359165076434e-19,0.00153910849453318,0.0011369197563515093,1.5391084945332212,1.1369197563515263,0.34267310371478,0.13333964328542386,0.45673076923076916,0.13423529335902243,0.3809083314387225,0.1298069550906085,0.17387368040761553,0.25112808416986,0.07991886409736307,0.13924107371150907,0.10476430203147272,0.1798540381994805,0.5,0.9,1.0,1.0,1.920381272778245,1.9484160358844966
5m,base,0.01,4,20,0.811644968390465,0.15951610354947648,0.009980655471137401,1.7797887332061147e-18,0.011457807681525045,0.003592080141220247,1.1457807681525092,0.35920801412202524,0.10297460496301802,0.024481101334610407,0.8451923076923075,0.08098462699814102,0.18276691929502492,0.04046234674247584,0.26952629292503094,0.05650207830321848,0.3257606490872211,0.17934183801842052,0.2863837220253997,0.09611780984741905,0.6,1.0,1.0,1.0,1.2139052425007009,1.2342304457527336
5m,base,0.05,4,20,0.2388508167117834,0.14873017092960547,0.0499873840029157,0.0,0.0528777684328567,0.0063248149266177,1.0575553686571346,0.1264962985323542,0.025872780036923854,0.00307773406679784,0.9509615384615385,0.037161741309155824,0.05036140035455293,0.005872280233839526,0.18179389812217456,0.02667006966213035,0.8398580121703854,0.08682538013933455,0.29860658697104,0.04100840543463032,0.55,1.0,1.0,1.0,1.1102326885337819,1.1214185590131762
5m,ours,0.001,4,20,0.994316425919533,0.004160589594534819,0.000979842440214185,6.268939352113821e-06,0.0009223437061956399,0.000209575953480183,0.9223437061956824,0.2095759534801839,0.4560228223399917,0.06337955950743934,0.5211538461538462,0.07840177925894633,0.4836518219644389,0.059248007007551326,0.09706144218647088,0.08863093536695779,0.00862068965517238,0.011916409796840766,0.01570767263688825,0.020980368878390877,0.7,1.0,1.0,1.0,1.070927950658817,1.1031679282310063
