window,method,backbone,seed,alpha,threshold,validation_fpr,test_fpr,violation_ratio,seen_precision,seen_recall,seen_f1,seen_tp,ood_precision,ood_recall,ood_f1,ood_tp,false_positives
1m,base,gat,0,0.001,0.9991042017936708,0.0009827372012386,0.0009456527785503,0.94565277855037,0.4574468085106383,0.2606060606060606,0.332046332046332,43,0.0192307692307692,0.0005605381165919,0.0010893246187363,1,51
1m,base,gat,0,0.01,0.9647402167320251,0.0099942519144833,0.0090485991359329,0.9048599135932952,0.2013093289689034,0.7454545454545455,0.3170103092783505,123,0.0220440881763527,0.0061659192825112,0.0096364432763907,11,488
1m,base,gat,0,0.05,0.3596340417861939,0.0499898017837607,0.0509354545623111,1.018709091246222,0.0524318730596757,0.9212121212121211,0.0992167101827676,152,0.3110107850514171,0.695067264573991,0.4297348813030671,1240,2747
1m,base,gat,1,0.001,0.9940294027328492,0.0009827372012386,0.0013350392167769,1.3350392167769929,0.4893617021276595,0.4181818181818181,0.4509803921568627,69,0.0769230769230769,0.0033632286995515,0.0064446831364124,6,72
1m,base,gat,1,0.01,0.9014846682548524,0.0099942519144833,0.0095306966308801,0.95306966308802,0.2092307692307692,0.8242424242424242,0.3337423312883436,136,0.1091854419410745,0.0353139013452914,0.0533672172808132,63,514
1m,base,gat,1,0.05,0.3477703034877777,0.0499898017837607,0.0489885223711779,0.9797704474235596,0.0547406082289803,0.9272727272727272,0.1033783783783783,153,0.3500615006150061,0.797645739910314,0.4865789023764746,1423,2642
1m,base,gat,2,0.001,0.9965381622314454,0.0009827372012386,0.0011681593146798,1.1681593146798688,0.4661016949152542,0.3333333333333333,0.3886925795053003,55,0.0735294117647058,0.0028026905829596,0.0053995680345572,5,63
1m,base,gat,2,0.01,0.9544909596443176,0.0099942519144833,0.0090300569245888,0.9030056924588828,0.2055464926590538,0.7636363636363637,0.3239074550128534,126,0.0318091451292246,0.0089686098654708,0.0139921294271972,16,487
1m,base,gat,2,0.05,0.4828807413578034,0.0499898017837607,0.0484693404535424,0.9693868090708496,0.0528985507246376,0.8848484848484849,0.0998290598290598,146,0.3257673458859943,0.7079596412556054,0.4462109167991521,1263,2614
1m,base,gat,3,0.001,0.9976232647895814,0.0009827372012386,0.0013906658508093,1.3906658508093674,0.4,0.303030303030303,0.3448275862068966,50,0.0259740259740259,0.0011210762331838,0.0021493820526598,2,75
1m,base,gat,3,0.01,0.939694344997406,0.0099942519144833,0.009512154419536,0.9512154419536074,0.2009345794392523,0.7818181818181819,0.3197026022304832,129,0.0302457466918714,0.0089686098654708,0.0138348465196714,16,513
1m,base,gat,3,0.05,0.4002776741981507,0.0499898017837607,0.0507314902375257,1.0146298047505145,0.0523034291652234,0.9151515151515152,0.0989515072083879,151,0.3020408163265306,0.6636771300448431,0.4151472650771388,1184,2736
1m,base,gat,4,0.001,0.997893512248993,0.0009827372012386,0.0011496171033357,1.1496171033357436,0.4513274336283185,0.3090909090909091,0.3669064748201439,51,0.0461538461538461,0.0016816143497757,0.0032449972958355,3,62
1m,base,gat,4,0.01,0.9421054720878602,0.0099942519144833,0.0094750699968478,0.9475069996847824,0.1952755905511811,0.7515151515151515,0.31,124,0.0285171102661596,0.0084080717488789,0.0129870129870129,15,511
1m,base,gat,4,0.05,0.4274135828018189,0.0499898017837607,0.0496745841909106,0.993491683818212,0.0540254237288135,0.9272727272727272,0.1021021021021021,153,0.3046976382039968,0.6580717488789237,0.4165336171722547,1174,2679
1m,base,gcn,0,0.001,0.99962055683136,0.0009827372012386,0.0008900261445179,0.8900261445179952,0.5826086956521739,0.406060606060606,0.4785714285714286,67,0.0,0.0,0.0,0,48
