window,model,alpha,num_seeds,num_runs,threshold_mean,threshold_std,validation_fpr_mean,validation_fpr_std,test_fpr_mean,test_fpr_std,violation_ratio_mean,violation_ratio_std,seen_precision_mean,seen_precision_std,seen_recall_mean,seen_recall_std,seen_f1_mean,seen_f1_std,ood_precision_mean,ood_precision_std,ood_recall_mean,ood_recall_std,ood_f1_mean,ood_f1_std,violation_ratio_p90,violation_ratio_p95,strict_ok,b3_ok,b5_ok,b10_ok
1m,lr,0.001,5,5,0.9964696968618807,1.2412670766236366e-16,0.0009827372012386,0.0,0.0008714839331738,0.0,0.8714839331738704,1.2412670766236366e-16,0.678082191780822,0.0,0.6,0.0,0.6366559485530546,0.0,0.1607142857142857,0.0,0.0050448430493273,0.0,0.0097826086956521,0.0,0.8714839331738703,0.8714839331738703,1.0,1.0,1.0,1.0
1m,lr,0.01,5,5,0.8306383248843499,1.2412670766236366e-16,0.0099942519144833,0.0,0.0103094695073334,0.0,1.0309469507333444,0.0,0.21579689703808178,3.1031676915590914e-17,0.9272727272727274,1.2412670766236366e-16,0.3501144164759725,0.0,0.4601941747572815,0.0,0.265695067264574,0.0,0.3368869936034115,0.0,1.0309469507333444,1.0309469507333444,0.0,1.0,1.0,1.0
1m,lr,0.05,5,5,0.1847554863707251,0.0,0.0499898017837607,0.0,0.0489699801598338,0.0,0.9793996031966772,0.0,0.056448731689889196,7.757919228897728e-18,0.9575757575757576,0.0,0.1066126855600539,0.0,0.3150933609958506,0.0,0.6810538116591929,0.0,0.4308510638297872,0.0,0.9793996031966772,0.9793996031966772,1.0,1.0,1.0,1.0
1m,mlp,0.001,5,5,0.8769719243049623,0.08240721847667308,0.0009827372012386,0.0,0.0011718677569486399,0.00011973732577526964,1.1718677569486935,0.11973732577525315,0.7048500499571992,0.024619903304828664,0.9139393939393938,0.043577401241812246,0.7956197957771377,0.02856217130830569,0.5009607065877459,0.38146884068526477,0.07847533632286993,0.07512779268664897,0.13416981139434478,0.1251313208017822,1.2868294672822682,1.320205447701693,0.0,1.0,1.0,1.0
1m,mlp,0.01,5,5,0.2188146874308586,0.13159274319877978,0.0099942519144833,0.0,0.0097865791474291,0.00022686757403618876,0.9786579147429123,0.02268675740361977,0.22819918611509352,0.004688623895365611,0.9454545454545455,0.0060606060606061,0.3676446513759276,0.006369813414003372,0.4507321780462926,0.044740073378583656,0.24562780269058299,0.04360575850720223,0.31757864372618216,0.04776637332823129,0.9986835029945671,1.0027627894902744,0.8,1.0,1.0,1.0
1m,mlp,0.05,5,5,0.0095761805772781,0.008394496322923734,0.0499898017837607,0.0,0.049062691216554453,0.0005424983344765713,0.9812538243310897,0.010849966689531204,0.05588060201575288,0.0006029218293111077,0.9490909090909092,0.006910154091509952,0.10554632264562527,0.0010923604788495849,0.29350295809103133,0.024430668466426633,0.6179372197309416,0.07127722109467106,0.39790536019207334,0.03718629406339669,0.992304982292188,0.9928983330551999,1.0,1.0,1.0,1.0
1m,rf,0.001,5,5,0.082,0.004472135954999583,0.0009382358940126601,3.614542413384945e-05,0.0009827372012385601,8.795343105546285e-05,0.9827372012386195,0.08795343105547024,0.7526341599596129,0.01679011859242385,0.9757575757575756,0.0,0.8497110809882763,0.010672809603607265,0.914034084935776,0.0061486652159350955,0.31558295964125554,0.007767043980129504,0.46912180129320447,0.00835499661720202,1.0606144888839442,1.068031373421594,0.4,1.0,1.0,1.0
1m,rf,0.01,5,5,0.015,0.0,0.008388496412082039,0.00023803462254929473,0.007809979418145379,0.000193319782966785,0.7809979418145409,0.019331978296680406,0.2778461933188593,0.004860313301941289,0.9818181818181818,0.00428549564355494,0.43310306717824076,0.0059310090895467096,0.6985573095607784,0.00504457563517682,0.547085201793722,0.0072545847004174815,0.6135891988923402,0.005321385723688488,0.8017652185199607,0.8051028165619033,1.0,1.0,1.0,1.0
1m,rf,0.05,5,5,5e-324,0.0,0.040447979826074024,0.0007639076029712185,0.0392019432237488,0.001024396346435542,0.7840388644749773,0.02048792692871051,0.07169458281383886,0.0017620025425667512,0.9890909090909092,0.00271038542727244,0.1336942339435508,0.0030773573146152993,0.39289657668594524,0.006200328751437401,0.7667040358744395,0.003418823022864743,0.519526883447945,0.0056089369592062155,0.8053253230980326,0.8117038438004115,1.0,1.0,1.0,1.0
5m,lr,0.001,5,5,0.9975328794801686,1.2412670766236366e-16,0.000981244217668,0.0,0.0010653209980375,0.0,1.0653209980375666,0.0,0.5189873417721519,0.0,0.7884615384615384,0.0,0.6259541984732825,0.0,0.073170731707317,0.0,0.0060851926977687,0.0,0.0112359550561797,0.0,1.0653209980375666,1.0653209980375666,0.0,1.0,1.0,1.0
