window,model,seed,alpha,threshold,validation_fpr,test_fpr,violation_ratio,seen_precision,seen_recall,seen_f1,seen_tp,ood_precision,ood_recall,ood_f1,ood_tp,false_positives
1m,lr,0,0.001,0.9964696968618806,0.0009827372012386,0.0008714839331738,0.8714839331738703,0.678082191780822,0.6,0.6366559485530546,99,0.1607142857142857,0.0050448430493273,0.0097826086956521,9,47
1m,lr,0,0.01,0.83063832488435,0.0099942519144833,0.0103094695073334,1.0309469507333444,0.2157968970380818,0.9272727272727272,0.3501144164759725,153,0.4601941747572815,0.265695067264574,0.3368869936034115,474,556
1m,lr,0,0.05,0.1847554863707251,0.0499898017837607,0.0489699801598338,0.9793996031966772,0.0564487316898892,0.9575757575757576,0.1066126855600539,158,0.3150933609958506,0.6810538116591929,0.4308510638297872,1215,2641
1m,lr,1,0.001,0.9964696968618806,0.0009827372012386,0.0008714839331738,0.8714839331738703,0.678082191780822,0.6,0.6366559485530546,99,0.1607142857142857,0.0050448430493273,0.0097826086956521,9,47
1m,lr,1,0.01,0.83063832488435,0.0099942519144833,0.0103094695073334,1.0309469507333444,0.2157968970380818,0.9272727272727272,0.3501144164759725,153,0.4601941747572815,0.265695067264574,0.3368869936034115,474,556
1m,lr,1,0.05,0.1847554863707251,0.0499898017837607,0.0489699801598338,0.9793996031966772,0.0564487316898892,0.9575757575757576,0.1066126855600539,158,0.3150933609958506,0.6810538116591929,0.4308510638297872,1215,2641
1m,lr,2,0.001,0.9964696968618806,0.0009827372012386,0.0008714839331738,0.8714839331738703,0.678082191780822,0.6,0.6366559485530546,99,0.1607142857142857,0.0050448430493273,0.0097826086956521,9,47
1m,lr,2,0.01,0.83063832488435,0.0099942519144833,0.0103094695073334,1.0309469507333444,0.2157968970380818,0.9272727272727272,0.3501144164759725,153,0.4601941747572815,0.265695067264574,0.3368869936034115,474,556
1m,lr,2,0.05,0.1847554863707251,0.0499898017837607,0.0489699801598338,0.9793996031966772,0.0564487316898892,0.9575757575757576,0.1066126855600539,158,0.3150933609958506,0.6810538116591929,0.4308510638297872,1215,2641
1m,lr,3,0.001,0.9964696968618806,0.0009827372012386,0.0008714839331738,0.8714839331738703,0.678082191780822,0.6,0.6366559485530546,99,0.1607142857142857,0.0050448430493273,0.0097826086956521,9,47
1m,lr,3,0.01,0.83063832488435,0.0099942519144833,0.0103094695073334,1.0309469507333444,0.2157968970380818,0.9272727272727272,0.3501144164759725,153,0.4601941747572815,0.265695067264574,0.3368869936034115,474,556
1m,lr,3,0.05,0.1847554863707251,0.0499898017837607,0.0489699801598338,0.9793996031966772,0.0564487316898892,0.9575757575757576,0.1066126855600539,158,0.3150933609958506,0.6810538116591929,0.4308510638297872,1215,2641
1m,lr,4,0.001,0.9964696968618806,0.0009827372012386,0.0008714839331738,0.8714839331738703,0.678082191780822,0.6,0.6366559485530546,99,0.1607142857142857,0.0050448430493273,0.0097826086956521,9,47
1m,lr,4,0.01,0.83063832488435,0.0099942519144833,0.0103094695073334,1.0309469507333444,0.2157968970380818,0.9272727272727272,0.3501144164759725,153,0.4601941747572815,0.265695067264574,0.3368869936034115,474,556
1m,lr,4,0.05,0.1847554863707251,0.0499898017837607,0.0489699801598338,0.9793996031966772,0.0564487316898892,0.9575757575757576,0.1066126855600539,158,0.3150933609958506,0.6810538116591929,0.4308510638297872,1215,2641
1m,mlp,0,0.001,0.8757240772247316,0.0009827372012386,0.0010198216239268,1.0198216239268696,0.7368421052631579,0.9333333333333332,0.8235294117647058,154,0.7698744769874477,0.1031390134529148,0.1819080573405833,184,55
1m,mlp,0,0.01,0.1230232641100883,0.0099942519144833,0.0094565277855037,0.94565277855037,0.2342342342342342,0.9454545454545454,0.3754512635379061,156,0.482233502538071,0.2662556053811659,0.3430841459010473,475,510
1m,mlp,0,0.05,0.0064880265854299,0.0499898017837607,0.0495262465001576,0.990524930003152,0.0555162659123055,0.9515151515151516,0.1049114600735048,157,0.2890604205483098,0.6087443946188341,0.3919870059556037,1086,2671
1m,mlp,1,0.001,0.7926344871520997,0.0009827372012386,0.0011496171033357,1.1496171033357436,0.7129629629629629,0.9333333333333332,0.8083989501312336,154,0.8381201044386423,0.1799327354260089,0.2962621135209968,321,62
1m,mlp,1,0.01,0.1921586394309997,0.0099942519144833,0.0100684207598598,1.006842075985982,0.2220630372492836,0.9393939393939394,0.3592120509849362,155,0.4813753581661891,0.2825112107623318,0.3560579300600494,504,543
1m,mlp,1,0.05,0.0044811354018747,0.0499898017837607,0.0496745841909106,0.993491683818212,0.055026455026455,0.9454545454545454,0.104,156,0.2942571127502634,0.6261210762331838,0.4003584229390681,1117,2679
1m,mlp,2,0.001,0.8123333454132081,0.0009827372012386,0.0013535814281211,1.3535814281211178,0.6769911504424779,0.9272727272727272,0.782608695652174,153,0.7125984251968503,0.101457399103139,0.1776251226692836,181,73
1m,mlp,2,0.01,0.1661521792411804,0.0099942519144833,0.0098644564350744,0.9864456435074448,0.2256186317321688,0.9393939393939394,0.3638497652582159,155,0.4859903381642512,0.2819506726457399,0.3568641362185172,503,532
1m,mlp,2,0.05,0.0035341428592801,0.0499898017837607,0.0484137138195101,0.9682742763902022,0.0560375994215473,0.9393939393939394,0.1057659501876492,155,0.333418432473832,0.7320627802690582,0.4581652341694439,1306,2611
1m,mlp,3,0.001,0.9041897654533388,0.0009827372012386,0.0011496171033357,1.1496171033357436,0.7142857142857143,0.9393939393939394,0.8115183246073299,155,0.1842105263157894,0.0078475336322869,0.0150537634408602,14,62
1m,mlp,3,0.01,0.1627121567726135,0.0099942519144833,0.0098459142237303,0.984591422373032,0.2281976744186046,0.9515151515151516,0.3681125439624853,157,0.4086859688195991,0.2057174887892376,0.273676360924683,367,531
1m,mlp,3,0.05,0.0093169203028082,0.0499898017837607,0.0486547625669837,0.9730952513396748,0.0564545127651923,0.9515151515151516,0.1065852002715546,157,0.2830601092896175,0.5807174887892377,0.3806024981631153,1036,2624
1m,mlp,4,0.001,0.9999779462814332,0.0009827372012386,0.0011867015260239,1.1867015260239937,0.6831683168316832,0.8363636363636363,0.7520435967302452,138,0.0,0.0,0.0,0,64
1m,mlp,4,0.01,0.450027197599411,0.0099942519144833,0.0096975765329773,0.9697576532977324,0.2308823529411764,0.9515151515151516,0.3715976331360947,157,0.3953757225433526,0.1917040358744394,0.2582106455266138,342,523
1m,mlp,4,0.05,0.0240606777369976,0.0499898017837607,0.0490441490052103,0.9808829801042072,0.0563681769532643,0.9575757575757576,0.1064690026954177,158,0.267718715393134,0.5420403587443946,0.3584136397331356,967,2645
1m,rf,0,0.001,0.085,0.0009271105672062,0.0010198216239268,1.0198216239268696,0.7453703703703703,0.9757575757575756,0.8451443569553806,161,0.9099836333878888,0.3116591928251121,0.4643006263048017,556,55
1m,rf,0,0.01,0.015,0.008473790584265,0.0080844041460384,0.8084404146038457,0.2709030100334448,0.9818181818181818,0.4246395806028833,162,0.6951048951048951,0.5571748878923767,0.6185438705662726,994,436
1m,rf,0,0.05,5e-324,0.0417014333129369,0.0409041182251395,0.8180823645027905,0.0688054031236808,0.987878787878788,0.1286503551696922,163,0.3827644096250699,0.7668161434977578,0.5106382978723404,1368,2206
1m,rf,1,0.001,0.08,0.0009641949898944,0.0010383638352709,1.0383638352709943,0.7419354838709677,0.9757575757575756,0.8429319371727748,161,0.9102564102564102,0.3183856502242152,0.4717607973421927,568,56
1m,rf,1,0.01,0.015,0.0086592126977063,0.0079175242439413,0.7917524243941333,0.2750424448217317,0.9818181818181818,0.4297082228116711,162,0.692141312184571,0.5381165919282511,0.6054872280037843,960,427
1m,rf,1,0.05,5e-324,0.039791585544492,0.0388644749772857,0.7772894995457158,0.0721558211598052,0.987878787878788,0.1344884488448844,163,0.3945696129404968,0.765695067264574,0.520777735417461,1366,2096
1m,rf,2,0.001,0.085,0.0008900261445179,0.0008714839331738,0.8714839331738703,0.7740384615384616,0.9757575757575756,0.8632707774798928,161,0.9233278955954324,0.3172645739910314,0.4722569879015436,566,47
1m,rf,2,0.01,0.015,0.0081029463573825,0.0076023066510912,0.760230665109121,0.2832167832167832,0.9818181818181818,0.4396200814111262,162,0.703328509406657,0.5448430493273543,0.6140240050536955,972,410
1m,rf,2,0.05,5e-324,0.0403478518848157,0.0382525820029296,0.7650516400585934,0.073225516621743,0.987878787878788,0.1363446256796319,163,0.3976642335766423,0.7634529147982063,0.5229410635438664,1362,2063
1m,rf,3,0.001,0.075,0.0009827372012386,0.0010754482579592,1.075448257959244,0.7351598173515982,0.9757575757575756,0.8385416666666666,161,0.9092331768388108,0.3256726457399103,0.4795707800247626,581,58
1m,rf,3,0.01,0.015,0.0085294172182974,0.0077691865531883,0.7769186553188333,0.2800687285223368,0.987878787878788,0.4364123159303882,163,0.6985611510791367,0.5442825112107623,0.6118462507876496,971,419
1m,rf,3,0.05,5e-324,0.0398842966012126,0.0393094880495447,0.7861897609908958,0.0713972842750766,0.987878787878788,0.1331699346405228,163,0.3916786226685796,0.7651345291479821,0.5181248813816663,1365,2120
1m,rf,4,0.001,0.085,0.0009271105672062,0.0009085683558621,0.90856835586212,0.7666666666666667,0.9757575757575756,0.8586666666666667,161,0.9173693086003372,0.3049327354260089,0.4577198148927219,544,49
1m,rf,4,0.01,0.015,0.008177115202759,0.0076764754964677,0.7676475496467708,0.28,0.9757575757575756,0.4351351351351351,161,0.7036506800286327,0.5510089686098655,0.6180446400502987,983,414
1m,rf,4,0.05,5e-324,0.0405147317869129,0.0386790528638445,0.7735810572768909,0.0728888888888888,0.993939393939394,0.1358178053830227,164,0.3978060046189376,0.7724215246636771,0.5251524390243902,1378,2086
5m,lr,0,0.001,0.9975328794801684,0.000981244217668,0.0010653209980375,1.0653209980375666,0.5189873417721519,0.7884615384615384,0.6259541984732825,41,0.073170731707317,0.0060851926977687,0.0112359550561797,3,38
